Most Frequent Words:




   1. the                  12435379
  2. and                  6918453
  3. that                 2873644
  4. was                  2474627
  5. his                  2054600
  6. you                  1820246
  7. with                 1737324
  8. for                  1633030
  9. had                  1570390
 10. not                  1432902
 11. but                  1351579
 12. her                  1289943
 13. have                 1114414
 14. she                  1112617
 15. him                  985490
 16. they                 971463
 17. which                955127
 18. this                 925908
 19. all                  889661
 20. from                 852424
 21. said                 774466
 22. were                 763563
 23. there                710423
 24. one                  697469
 25. are                  662018
 26. would                649521
 27. their                614554
 28. been                 586167
 29. when                 585203
 30. them                 576693
 31. what                 569993
 32. who                  545267
 33. will                 523695
 34. out                  485032
 35. more                 447165
 36. could                436249
 37. then                 435112
 38. man                  428310
 39. now                  413716
 40. your                 413355
 41. very                 404170
 42. some                 395174
 43. into                 394899
 44. can                  361909
 45. has                  359739
 46. did                  358218
 47. little               349937
 48. than                 347473
 49. about                338588
 50. like                 336018
 51. upon                 333508
 52. time                 333321
 53. any                  328604
 54. our                  314539
 55. only                 307267
 56. other                305891
 57. should               299964
 58. see                  299573
 59. know                 292583
 60. before               277973
 61. down                 277408
 62. well                 276533
 63. such                 274281
 64. much                 272354
 65. its                  269144
 66. two                  267068
 67. must                 262599
 68. these                262540
 69. made                 261017
 70. may                  260600
 71. after                260589
 72. great                259772
 73. come                 250114
 74. over                 249557
 75. good                 247889
 76. here                 245192
 77. how                  242583
 78. old                  239864
 79. never                238695
 80. own                  230742
 81. think                229300
 82. men                  229227
 83. say                  229083
 84. first                227351
 85. where                221981
 86. way                  220798
 87. came                 216803
 88. himself              215986
 89. might                214763
 90. again                209121
 91. those                199887
 92. too                  199398
 93. back                 198699
 94. day                  192943
 95. long                 190389
 96. even                 190302
 97. shall                187731
 98. make                 187277
 99. most                 186006
100. life                 185252
101. being                180316
102. through              177891
103. still                177627
104. away                 176773
105. thought              176393
106. yet                  173956
107. though               173381
108. went                 171474
109. last                 170508
110. without              170385
111. just                 169411
112. while                169405
113. take                 165698
114. many                 164041
115. nothing              160648
116. hand                 156791
117. every                156067
118. young                155586
119. eyes                 155046
120. once                 152139
121. off                  149520
122. sir                  148337
123. get                  148270
124. let                  144873
125. people               143743
126. place                143384
127. ever                 143015
128. face                 142829
129. found                142777
130. same                 142471
131. another              140960
132. under                137749
133. tell                 136597
134. house                136033
135. things               134651
136. father               131546
137. head                 131211
138. look                 130170
139. right                129692
140. left                 128534
141. mind                 127010
142. got                  126805
143. thing                125613
144. why                  125582
145. saw                  125555
146. looked               125411
147. put                  122506
148. three                121635
149. give                 121597
150. always               121473
151. world                121404
152. seemed               120730
153. lady                 119286
154. far                  118908
155. night                118197
156. new                  117819
157. against              117627
158. something            116652
159. better               116472
160. done                 116285
161. going                116038
162. took                 115286
163. quite                114293
164. because              113855
165. moment               113513
166. asked                112412
167. work                 110595
168. few                  109954
169. heard                109710
170. knew                 108014
171. between              107580
172. enough               107499
173. told                 107044
174. find                 106673
175. love                 106226
176. years                105859
177. god                  105217
178. part                 104934
179. course               104819
180. each                 104502
181. seen                 103231
182. side                 103036
183. heart                100795
184. also                 100634
185. among                 99212
186. miss                  98544
187. both                  98521
188. whole                 98214
189. having                98043
